,x0,x1,y0,y1
0,-1.7774955,-1.663092,-2.813979,3.1623
1,-1.76547,-1.6612524,-3.0891428,2.9747248
2,-1.7585557,-1.6511236,-2.8464181,3.1538973
3,-1.7403935,-1.6469737,-2.815389,2.852043
4,-1.73592,-1.6264907,-2.5099182,2.8204658
5,-1.7276481,-1.6242391,-2.821136,2.2673035
6,-1.7265093,-1.6213435,-2.4865694,2.7564507
7,-1.7235667,-1.6211907,-2.5961175,2.5354323
8,-1.7158402,-1.6097229,-2.802614,2.1509361
9,-1.6985433,-1.6041459,-2.718999,2.0709846
10,-1.6930196,-1.5985079,-2.3904376,2.4139848
11,-1.69116,-1.5911914,-2.3461843,2.1358728
12,-1.6862108,-1.5856916,-2.5786011,2.5646992
13,-1.6636691,-1.5811994,-2.5370815,2.0070984
14,-1.6549319,-1.580944,-2.4632382,2.1361241
15,-1.6444393,-1.5720012,-2.2545497,1.7289048
16,-1.6267359,-1.5600944,-2.1493657,1.9237022
17,-1.623535,-1.5569769,-2.0747693,1.6003965
18,-1.6038677,-1.5516471,-1.7756313,1.8937722
19,-1.6029168,-1.5361944,-2.046853,1.6753762
20,-1.5990474,-1.5337381,-2.1968086,1.7783221
21,-1.5938493,-1.5224754,-1.7965887,1.6684235
22,-1.5764154,-1.5141729,-2.0960999,1.6611075
23,-1.560824,-1.5047958,-1.5355635,1.3591319
24,-1.5536096,-1.5007741,-1.8622304,1.331511
25,-1.552767,-1.4975556,-1.8445038,1.7328742
26,-1.5482117,-1.4947007,-1.8851196,1.6433849
27,-1.5362241,-1.494235,-1.480165,1.4743016
28,-1.5340743,-1.491539,-1.5028535,1.0421731
29,-1.5210532,-1.4876101,-1.3461072,1.2779164
30,-1.5075282,-1.4815516,-1.7809345,1.6075858
31,-1.5002121,-1.4555938,-1.5943056,1.1197441
32,-1.4997076,-1.4547695,-1.6141065,1.4683386
33,-1.4943466,-1.405686,-1.504631,1.0491502
34,-1.4940509,-1.401179,-1.2707665,0.9772789
35,-1.4902943,-1.3978735,-1.6553175,0.94708645
36,-1.4881568,-1.3939193,-1.1902989,1.4202998
37,-1.4784073,-1.3931547,-1.2295886,1.0184517
38,-1.4549989,-1.3917003,-1.2959542,0.8610252
39,-1.4538839,-1.3882596,-1.0826843,0.8446166
40,-1.4364247,-1.3723993,-1.4336752,0.6752668
41,-1.4233085,-1.364841,-0.95329344,1.145628
42,-1.4146291,-1.347308,-0.87117106,0.8118187
43,-1.4081508,-1.3424368,-1.0389408,0.8322148
44,-1.4036318,-1.3356482,-0.9966056,0.9886251
45,-1.3896846,-1.3354279,-1.1525922,0.4494214
46,-1.3851998,-1.3243034,-1.1739697,0.8743599
47,-1.3587303,-1.3182969,-1.1837919,0.4347334
48,-1.3516746,-1.3117988,-1.1499399,0.67417645
49,-1.3498974,-1.3079088,-1.0237747,0.58320355
50,-1.3191189,-1.2912325,-0.72285044,0.12623605
51,-1.284887,-1.2898256,-0.56377465,0.6079843
52,-1.244857,-1.2859302,-0.6254781,0.3906652
53,-1.2169727,-1.2816627,-0.58263904,0.20110303
54,-1.2058225,-1.2770329,-0.4152162,0.34027067
55,-1.1952386,-1.2758573,-0.88167393,0.055846974
56,-1.186195,-1.2575607,-0.34806147,-0.09397433
57,-1.171211,-1.2524767,-0.65168846,0.07131785
58,-1.1698627,-1.2523861,-0.54484624,-0.0936888
59,-1.1661386,-1.2358874,-0.74288994,-0.15951683
60,-1.1596458,-1.229262,-0.7503498,0.19677575
61,-1.1224627,-1.2208203,-0.7117645,-0.35923395
62,-1.122245,-1.2179524,-0.4813114,0.014408635
63,-1.121163,-1.2124841,-0.47983748,-0.37857366
64,-1.1209228,-1.2062632,-0.6523317,0.2078352
65,-1.0793493,-1.1864785,-0.44421622,-0.43605712
66,-1.0782967,-1.1797823,-0.70940137,-0.33238345
67,-1.070233,-1.1766728,-0.25114164,0.047822397
68,-1.0691895,-1.1754522,-0.41280326,-0.18067639
69,-1.058779,-1.1652158,-0.4671042,-0.24092846
70,-1.047798,-1.1633527,-0.45937443,-0.38052347
71,-1.0422344,-1.1563901,-0.42301285,-0.21169877
72,-1.0414585,-1.152712,-0.5408073,-0.41018912
73,-1.0206935,-1.1005571,-0.3514885,-0.548643
