,x0,x1,y0,y1,mean_y0,mean_y1,std_y0,std_y1
0,-1.8960234,-1.8398341,-3.3265905,3.1272128,-2.7082148,2.9049134,0.7344821,0.55947626
1,-1.8374437,-1.8343505,-3.0557334,2.3557637,-2.5624177,2.7143383,0.7043444,0.53486514
2,-1.8050596,-1.8267183,-3.0088372,2.8213274,-2.4757626,2.603934,0.68653625,0.52024364
3,-1.7879007,-1.8043388,-2.672297,2.4029982,-2.3879414,2.4953234,0.66886955,0.5058301
4,-1.768683,-1.7974404,-2.568974,2.4219878,-2.3328555,2.4256983,0.6573383,0.49666452
5,-1.7517769,-1.7858889,-2.698375,1.9769887,-2.2723181,2.350082,0.64478505,0.48665848
6,-1.7440348,-1.7831514,-2.55037,1.6683929,-2.2507746,2.3229275,0.64024705,0.4830465
7,-1.737036,-1.7690133,-2.5492194,2.0981672,-2.204414,2.266061,0.63085276,0.47560632
8,-1.7257979,-1.7652671,-2.29658,2.0093846,-2.1740708,2.2277637,0.62439436,0.47058287
9,-1.7227829,-1.7649908,-2.3318298,2.0512118,-2.1676557,2.219595,0.62300503,0.46950206
10,-1.7189001,-1.7489578,-2.2347658,1.9253051,-2.1236625,2.1661544,0.61409456,0.46256226
11,-1.6758742,-1.7294803,-2.1731675,1.394211,-1.9988813,2.0100582,0.58746225,0.44195434
12,-1.6665388,-1.7209349,-1.9242556,1.5268788,-1.9626733,1.9652498,0.5797909,0.43615264
13,-1.6646376,-1.708999,-2.1661766,1.381503,-1.9327046,1.9288081,0.5736847,0.43155754
14,-1.661314,-1.7052325,-2.1643593,1.503868,-1.91839,1.9111181,0.5706663,0.42929235
15,-1.6595438,-1.6916356,-2.1289523,1.7700413,-1.8857722,1.8716878,0.56405926,0.42429674
16,-1.653125,-1.6899357,-1.646774,1.1751182,-1.8703794,1.8522218,0.56066924,0.42175636
17,-1.6486177,-1.6786414,-2.0698411,1.1925722,-1.8381772,1.8129365,0.55396783,0.4167121
18,-1.6212837,-1.671082,-1.7072065,1.4418218,-1.7733139,1.7311743,0.53960544,0.40610018
19,-1.6179358,-1.6619617,-1.752348,1.5656803,-1.7481022,1.700459,0.53435373,0.40218392
20,-1.6168916,-1.6512336,-1.9221636,1.5128542,-1.7239071,1.6713905,0.52940625,0.39847562
21,-1.6077236,-1.6468183,-1.8638937,1.6142261,-1.6986746,1.6399081,0.52390337,0.3943458
22,-1.5689565,-1.6453862,-1.6927404,0.7157632,-1.6308181,1.5542681,0.5087011,0.38299322
23,-1.563891,-1.6437061,-1.4310533,1.3261425,-1.6191407,1.5397794,0.50613105,0.38108104
24,-1.5431473,-1.6360267,-1.2929553,1.0025758,-1.5704141,1.4794772,0.49532408,0.37306052
25,-1.5389036,-1.6219499,-1.4762429,1.1229782,-1.5338551,1.4348603,0.48759446,0.36729968
26,-1.5338374,-1.6179618,-1.2472682,0.6983231,-1.5177126,1.4150019,0.48404425,0.3646399
27,-1.5326174,-1.6045837,-1.5693986,0.9682296,-1.4880366,1.3791755,0.4778965,0.35999426
28,-1.524957,-1.6007107,-1.1511481,0.56450266,-1.4683535,1.3548765,0.47350806,0.3566633
29,-1.5175664,-1.5619938,-1.4624722,0.6326439,-1.38045,1.2496758,0.45498773,0.3428852
30,-1.5131459,-1.5548176,-1.0823152,1.1412045,-1.3598914,1.2249879,0.4505325,0.33957118
31,-1.4937786,-1.5453664,-1.3122696,0.6469234,-1.3120406,1.1662703,0.4397032,0.3314048
32,-1.4781942,-1.5206308,-0.93650156,1.0232128,-1.2428657,1.0835547,0.4245375,0.32004684
33,-1.4513088,-1.513613,-0.9175909,0.85492146,-1.190726,1.019064,0.41214436,0.31076032
34,-1.4473825,-1.5036817,-1.1950252,0.35593483,-1.1671436,0.99118096,0.40691018,0.30692154
35,-1.4406283,-1.5010036,-0.8917128,0.6560695,-1.152772,0.9735747,0.4034948,0.3043879
36,-1.4315838,-1.4969218,-1.1627911,0.8059336,-1.1328431,0.9492532,0.39879113,0.30089995
37,-1.4276689,-1.4911853,-1.1018378,0.5584806,-1.1171874,0.9306111,0.3952343,0.29831988
38,-1.4275124,-1.4790633,-0.89995956,0.3800046,-1.0957171,0.90590465,0.39058176,0.29502377
39,-1.3988073,-1.4700246,-1.2430443,0.6788378,-1.041251,0.8389989,0.37738627,0.2852551
40,-1.3962886,-1.4630187,-1.150276,0.09380579,-1.0258344,0.8209298,0.37391996,0.28271842
41,-1.3952435,-1.4579766,-0.91465616,0.6610876,-1.0158476,0.80933857,0.37170014,0.2810939
42,-1.3769754,-1.4578565,-0.99825996,0.09486883,-0.99231625,0.7798808,0.3655523,0.27662197
43,-1.3761438,-1.4551196,-0.7110574,0.6394085,-0.9865344,0.77313644,0.3642592,0.2756669
44,-1.3749199,-1.4536463,-0.84943616,0.0027759857,-0.9824724,0.76831836,0.3633141,0.2749721
45,-1.3704344,-1.4510733,-0.74561274,0.27534294,-0.9725033,0.75632143,0.36091143,0.27320153
46,-1.3609807,-1.4380822,-0.9959139,0.2949601,-0.9387854,0.7165866,0.35309094,0.2674044
47,-1.3558962,-1.4340578,-0.8368385,0.39623657,-0.92586404,0.70120764,0.35001293,0.2651116
48,-1.3551121,-1.4340218,-0.6914967,0.4977963,-0.92486686,0.6999641,0.34975344,0.26491678
49,-1.3504524,-1.4252697,-0.80259,0.5785103,-0.9046709,0.6763758,0.34511763,0.26147813
50,-1.3207158,-1.3920796,-0.5806488,0.17775062,-0.81633717,0.5724273,0.32420424,0.24619824
