theta,wvl,flux,r,n,log_mstar,log_mdust_over_mstar
0.0,0.09,6.501817484772457e-12,8.836515150340569,0.2000007292673196,11.32,-2.74
0.0,0.09888006579,2.803091827610573e-11,8.836515150340569,0.20000000005066382,11.32,-2.74
0.0,0.1086363046,3.71499430980697e-11,8.836515150340567,0.2000000017119842,11.32,-2.74
0.0,0.119355166,3.24803152326458e-11,8.57181427715677,0.2000000378876549,11.32,-2.74
0.0,0.1311316297,3.8794796208673e-11,8.495881355223375,0.2000006235072921,11.32,-2.74
0.0,0.1440700463,3.4597516258257e-11,8.44317475846657,0.20000000005149687,11.32,-2.74
0.0,0.1582850629,2.9837208393047e-11,8.41755308875417,0.20000001516681168,11.32,-2.74
0.0,0.1739026381,3.0226454456508e-11,8.35629778080007,0.20000000017975803,11.32,-2.74
0.0,0.1910611589,2.5393456273112e-11,8.470419116078023,0.20000000000001517,11.32,-2.74
0.0,0.2099126662,2.2855350744391e-11,8.652074895775439,0.2000000016728162,11.32,-2.74
0.0,0.2306242028,1.9544818795581e-11,8.5701341881016,0.200000000000013,11.32,-2.74
0.0,0.2533792927,1.8220634381322e-11,8.434642849700454,0.20000000000000173,11.32,-2.74
0.0,0.2783795681,1.7878849623487e-11,8.345393939291354,0.20000000007499075,11.32,-2.74
0.0,0.3058465557,1.8146045484645e-11,8.237718130763552,0.20000000020575195,11.32,-2.74
0.0,0.3360236395,1.7561501484627003e-11,8.019825434622053,0.2000000000139803,11.32,-2.74
0.0,0.3691782175,1.9529431262624e-11,7.9113589225721626,0.20000000151371772,11.32,-2.74
0.0,0.4056040715,2.8615525470959998e-11,7.80507527200828,0.20000001945647647,11.32,-2.74
0.0,0.4456239698,3.1022420809059e-11,7.640994699752368,0.20000000000388737,11.32,-2.74
0.0,0.4895925272,3.0853211084694e-11,7.467529712131717,0.20000001812622964,11.32,-2.74
0.0,0.5378993478,3.0344340079591e-11,7.378292485496404,0.20000001503449172,11.32,-2.74
0.0,0.5909724767,3.0890823471583e-11,7.248337740577433,0.20000000017227298,11.32,-2.74
0.0,0.6492821931,2.9898977597219005e-11,7.093715528650465,0.21270842853386268,11.32,-2.74
0.0,0.7133451775,3.0300579912279e-11,6.950165465754035,0.22293489802495445,11.32,-2.74
0.0,0.7837290898,3.0570363151203e-11,6.812048150248682,0.2349337679097971,11.32,-2.74
0.0,0.8610575996,3.0750001027015e-11,6.638614313336841,0.24712464972134937,11.32,-2.74
0.0,0.9460159122,3.199622983014e-11,6.469435833299405,0.2609496757015265,11.32,-2.74
0.0,1.03935684,3.2489975817370646e-11,6.3040739519754085,0.2738536170285713,11.32,-2.74
0.0,1.141907475,3.12786571909887e-11,6.124116262862416,0.2876429341434275,11.32,-2.74
0.0,1.254576514,3.1482425021786104e-11,5.908705442056064,0.30852946608263504,11.32,-2.74
0.0,1.378362314,3.22792018612188e-11,5.720489489625981,0.31176570084347505,11.32,-2.74
0.0,1.514361737,3.34023469040171e-11,5.557049576967028,0.3235451584767584,11.32,-2.74
0.0,1.663779868,3.6007061968922996e-11,5.34303284668958,0.3351202278771904,11.32,-2.74
0.0,1.827940698,3.5947691327042994e-11,5.142528561004262,0.3387768584292413,11.32,-2.74
0.0,2.00829885,3.5757949636665e-11,4.971679796677971,0.3602181169496517,11.32,-2.74
0.0,2.206452472,3.5301917663888004e-11,4.758571214202592,0.36136432736743507,11.32,-2.74
0.0,2.424157395,3.3780731949539e-11,4.567099736220707,0.3699165277717229,11.32,-2.74
0.0,2.663342697,3.5677393210136996e-11,4.442431766561602,0.38791441383940584,11.32,-2.74
0.0,2.92612779,3.8407185849149e-11,4.324164659275412,0.40658358121594773,11.32,-2.74
0.0,3.0,4.0700661932227e-11,4.024027832962378,0.4554696377067782,11.32,-2.74
